PR,PROVINCIA,Centroid_X,Centroid_Y
05,ÁVILA,-4.945567154094964,40.571043418155355
09,BURGOS,-3.6035658243645603,42.36156911447995
24,LEÓN,-5.83990531186526,42.619885364341265
34,PALENCIA,-4.537944067458491,42.37069128932352
37,SALAMANCA,-6.065454926998783,40.80497756597909
40,SEGOVIA,-4.054163071064413,41.17099604179076
42,SORIA,-2.588787347676121,41.62079984430288
47,VALLADOLID,-4.843657449013083,41.631478141387745
49,ZAMORA,-5.980551688788047,41.72719201225132
