CO_CCAA,DS_CCAA,CO_PROVINC,DS_PROVINC,CO_COMARCA,DS_COMARCA,AREA,provMY,Habitantes,Hombres,Mujeres,Centroid_X,Centroid_Y
8,Castilla y León,47,Valladolid,4701,TIERRA DE CAMPOS,1945768367.37,,18245,9805,9358,-5.154965350463721,41.99441601355843
8,Castilla y León,47,Valladolid,4702,CENTRO,2458722316.69,,416598,201580,213296,-4.768801059857975,41.68575109687841
8,Castilla y León,47,Valladolid,4703,SUR,1916561015.94,,52837,27289,26536,-5.025394403547194,41.33529715399863
8,Castilla y León,47,Valladolid,4704,SURESTE,1787895923.61,,45092,23111,21600,-4.4217336898984545,41.48720684522735
8,Castilla y León,49,Zamora,4901,SANABRIA,1998759968.65,,10216,5356,5069,-6.566306027819071,42.06313911693994
8,Castilla y León,49,Zamora,4902,BENAVENTE Y LOS VALLES,1447240290.01,,39446,20161,20260,-5.853871778071298,42.00914704955779
8,Castilla y León,49,Zamora,4903,ALISTE,1947271451.01,,13764,7432,6849,-6.169950519610303,41.76018754188186
8,Castilla y León,49,Zamora,4904,CAMPOS-PAN,2177400422.73,,86576,42586,45548,-5.606640799810707,41.70565056078427
8,Castilla y León,49,Zamora,4905,SAYAGO,1485843821.18,,9294,4985,4692,-6.0804828106605635,41.34916202383296
8,Castilla y León,49,Zamora,4906,BAJO DUERO,1512671911.46,,32325,16624,16103,-5.519213507452991,41.36613691076016
