Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town,CENSO DE HEMBRAS REPRODUCTORAS MAYORES DE 24 MESES,CENSO DE ANIMALES EN CEBADEROS,TotAnimals
Castilla León,Valladolid,San Pablo de la Moraleja,41.1605,-4.777665,795.316,135,75,72,POINT (-4.777665 41.1605),SUR,SAN PABLO DE LA MORALEJA,0.0,257.0,257.0
Castilla León,Valladolid,San Pedro de Latarce,41.73582,-5.325758,708.7725,561,305,266,POINT (-5.325758 41.73582),TIERRA DE CAMPOS,SAN PEDRO DE LATARCE,125.0,8.0,133.0
Castilla León,Valladolid,San Pelayo,41.67999,-5.033651,772.2509,49,23,23,POINT (-5.033651 41.67999),CENTRO,SAN PELAYO,0.0,0.0,0.0
Castilla León,Valladolid,San Román de Hornija,41.48179,-5.282981,672.574,393,176,208,POINT (-5.282980999999999 41.48179),SUR,SAN ROMAN DE HORNIJA,115.0,0.0,115.0
Castilla León,Valladolid,San Salvador,41.61988,-5.086821,722.0958,36,20,16,POINT (-5.086821 41.61988),CENTRO,SAN SALVADOR,0.0,0.0,0.0
Castilla León,Valladolid,San Vicente del Palacio,41.21934,-4.851441,747.0,189,117,103,POINT (-4.851441 41.21934),SUR,SAN VICENTE DEL PALACIO,12.0,0.0,12.0
Castilla León,Valladolid,Santa Eufemia del Arroyo,41.89495,-5.2669169999999985,714.4111,100,58,53,POINT (-5.266916999999999 41.89495),TIERRA DE CAMPOS,SANTA EUFEMIA DEL ARROYO,0.0,0.0,0.0
Castilla León,Valladolid,Santervás de Campos,42.21807,-5.101006,767.0978,141,77,60,POINT (-5.101006 42.21807),TIERRA DE CAMPOS,SANTERVAS DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Santibáñez de Valcorba,41.57038,-4.447528,749.9538,179,95,84,POINT (-4.447528 41.57038),SURESTE,SANTIBANEZ DE VALCORBA,188.0,0.0,188.0
Castilla León,Valladolid,Santovenia de Pisuerga,41.69658,-4.688344,695.9589,3985,1909,1823,POINT (-4.688344 41.69658),CENTRO,SANTOVENIA DE PISUERGA,0.0,32.0,32.0
Castilla León,Valladolid,Sardón de Duero,41.60773,-4.4302199999999985,720.0624,672,354,346,POINT (-4.430219999999999 41.60773),SURESTE,SARDON DE DUERO,0.0,0.0,0.0
Castilla León,Valladolid,Seca (La),41.41461,-4.907119000000002,733.1006,1090,566,531,POINT (-4.907119000000001 41.41461),SUR,SECA (LA),14.0,1.0,15.0
Castilla León,Valladolid,Serrada,41.4593,-4.861142,726.9307,1213,601,564,POINT (-4.861142 41.4593),SUR,SERRADA,0.0,27.0,27.0
Castilla León,Valladolid,Siete Iglesias de Trabancos,41.35193,-5.184703,726.4639999999998,534,303,259,POINT (-5.184703 41.35193),SUR,SIETE IGLESIAS DE TRABANCOS,64.0,0.0,64.0
Castilla León,Valladolid,Simancas,41.59023,-4.826713,715.7623,5335,2647,2505,POINT (-4.826713 41.59023),CENTRO,SIMANCAS,0.0,766.0,766.0
Castilla León,Valladolid,Tamariz de Campos,41.97712,-5.0233919999999985,750.1976,76,51,46,POINT (-5.023391999999999 41.97712),TIERRA DE CAMPOS,TAMARIZ DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Tiedra,41.65174,-5.267083,821.9064,327,173,177,POINT (-5.267083 41.65174),CENTRO,TIEDRA,0.0,0.0,0.0
Castilla León,Valladolid,Tordehumos,41.81499,-5.161331,753.7995,462,239,236,POINT (-5.161331 41.81499),TIERRA DE CAMPOS,TORDEHUMOS,661.0,25.0,686.0
Castilla León,Valladolid,Tordesillas,41.50165,-4.999127,700.5994,9064,4644,4423,POINT (-4.999127 41.50165),SUR,TORDESILLAS,487.0,1494.0,1981.0
Castilla León,Valladolid,Torre de Esgueva,41.76805,-4.199917,810.9865,79,40,41,POINT (-4.199917 41.76805),CENTRO,TORRE DE ESGUEVA,0.0,0.0,0.0
Castilla León,Valladolid,Torre de Peñafiel,41.53635,-4.088619,792.0806,47,27,19,POINT (-4.088619 41.53635),SURESTE,TORRE DE PENAFIEL,0.0,38.0,38.0
Castilla León,Valladolid,Torrecilla de la Abadesa,41.48503,-5.089311,685.1160000000001,314,168,163,POINT (-5.089311 41.48503),SUR,TORRECILLA DE LA ABADESA,21.0,119.0,140.0
Castilla León,Valladolid,Torrecilla de la Orden,41.21923,-5.224626,776.2607,286,149,149,POINT (-5.224626 41.21923),SUR,TORRECILLA DE LA ORDEN,158.0,0.0,158.0
Castilla León,Valladolid,Torrecilla de la Torre,41.66607,-5.04868,755.2628,35,24,12,POINT (-5.04868 41.66607),CENTRO,TORRECILLA DE LA TORRE,13.0,0.0,13.0
Castilla León,Valladolid,Torrelobatón,41.64796,-5.0255410000000005,750.7936,493,248,258,POINT (-5.025541 41.64796),CENTRO,TORRELOBATON,842.0,0.0,842.0
Castilla León,Valladolid,Torrescárcela,41.48461,-4.318077,891.451,176,85,74,POINT (-4.318077 41.48461),SURESTE,TORRESCARCELA,52.0,3.0,55.0
Castilla León,Valladolid,Traspinedo,41.57597,-4.472253,736.7956,1071,559,469,POINT (-4.472253 41.57597),SURESTE,TRASPINEDO,0.0,85.0,85.0
Castilla León,Valladolid,Trigueros del Valle,41.83005,-4.650744,762.3388,332,193,158,POINT (-4.650744 41.83005),CENTRO,TRIGUEROS DEL VALLE,37.0,3.0,40.0
Castilla León,Valladolid,Tudela de Duero,41.58638,-4.581106,708.5769,8793,4359,4144,POINT (-4.581106 41.58638),CENTRO,TUDELA DE DUERO,344.0,151.0,495.0
Castilla León,Valladolid,Unión de Campos (La),42.07698,-5.325425,767.1444,251,142,137,POINT (-5.325425 42.07698),TIERRA DE CAMPOS,UNION DE CAMPOS (LA),2.0,1.0,3.0
Castilla León,Valladolid,Urones de Castroponce,42.09862,-5.28183,751.2286,114,72,56,POINT (-5.28183 42.09862),TIERRA DE CAMPOS,URONES DE CASTROPONCE,0.0,0.0,0.0
Castilla León,Valladolid,Urueña,41.72711,-5.203532,832.0980000000002,207,118,107,POINT (-5.203532 41.72711),TIERRA DE CAMPOS,URUENA,9.0,149.0,158.0
Castilla León,Valladolid,Valbuena de Duero,41.64257,-4.291222,734.545,489,268,234,POINT (-4.291222 41.64257),SURESTE,VALBUENA DE DUERO,0.0,0.0,0.0
Castilla León,Valladolid,Valdearcos de la Vega,41.6428,-4.047462,783.0189,118,61,66,POINT (-4.047462 41.6428),SURESTE,VALDEARCOS DE LA VEGA,0.0,0.0,0.0
Castilla León,Valladolid,Valdenebro de los Valles,41.85567,-4.969822,808.7703,210,109,102,POINT (-4.969822 41.85567),TIERRA DE CAMPOS,VALDENEBRO DE LOS VALLES,237.0,0.0,237.0
Castilla León,Valladolid,Valdestillas,41.47604000000001,-4.770289,703.0,1765,948,856,POINT (-4.770289 41.47604),SUR,VALDESTILLAS,0.0,27.0,27.0
Castilla León,Valladolid,Valdunquillo,42.04168,-5.315187,742.0706,168,84,92,POINT (-5.315187 42.04168),TIERRA DE CAMPOS,VALDUNQUILLO,0.0,0.0,0.0
Castilla León,Valladolid,Valladolid,41.65295,-4.728388,699.4927,311682,151570,166294,POINT (-4.728388 41.65295),CENTRO,VALLADOLID,1756.0,738.0,2494.0
Castilla León,Valladolid,Valoria la Buena,41.79931,-4.53069,730.0471,702,360,338,POINT (-4.53069 41.79931),CENTRO,VALORIA LA BUENA,0.0,664.0,664.0
Castilla León,Valladolid,Valverde de Campos,41.83491,-5.037401999999998,770.9928,114,65,57,POINT (-5.037401999999999 41.83491),TIERRA DE CAMPOS,VALVERDE DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Vega de Ruiponce,42.18827,-5.114545,751.2102,116,64,53,POINT (-5.114545 42.18827),TIERRA DE CAMPOS,VEGA DE RUIPONCE,47.0,0.0,47.0
