Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town
Castilla León,Ávila,Adanero,40.94591,-4.606659,905.2096,264,152,143,POINT (-4.606659 40.94591),ARÉVALO-MADRIGAL,Adanero
Castilla León,Ávila,Adrada (La),40.29935,-4.634857,622.7286,2685,1432,1302,POINT (-4.634857 40.29935),VALLE DEL TIÉTAR,Adrada (La)
Castilla León,Ávila,Albornos,40.83842,-4.881355,909.7402,218,130,113,POINT (-4.881355 40.83842),ARÉVALO-MADRIGAL,Albornos
Castilla León,Ávila,Aldeanueva de Santa Cruz,40.38176,-5.419435,1166.277,135,85,66,POINT (-5.419435 40.38176),BARCO DE ÁVILA - PIEDRAHITA,Aldeanueva de Santa Cruz
Castilla León,Ávila,Aldeaseca,41.04952,-4.817433,861.7283,277,127,136,POINT (-4.817433 41.04952),ARÉVALO-MADRIGAL,Aldeaseca
Castilla León,Ávila,Aldehuela (La),40.794579999999996,-4.763939,959.1974,203,101,109,POINT (-4.763939 40.79458),ARÉVALO-MADRIGAL,Aldehuela (La)
Castilla León,Ávila,Amavida,40.57338,-5.066841999999999,1175.522,174,90,93,POINT (-5.066841999999999 40.57338),ÁVILA,Amavida
Castilla León,Ávila,Arenal (El),40.26487,-5.087197,890.2292,1027,526,520,POINT (-5.087197 40.26487),VALLE DEL TIÉTAR,Arenal (El)
Castilla León,Ávila,Arenas de San Pedro,40.20872,-5.091141,514.0571,6870,3362,3468,POINT (-5.091141 40.20872),VALLE DEL TIÉTAR,Arenas de San Pedro
Castilla León,Ávila,Arevalillo,40.587309999999995,-5.370576,1137.772,104,58,60,POINT (-5.370576 40.58731),ÁVILA,Arevalillo
Castilla León,Ávila,Arévalo,41.06443,-4.721680999999999,826.179,8098,3922,4152,POINT (-4.721680999999999 41.06443),ARÉVALO-MADRIGAL,Arévalo
Castilla León,Ávila,Aveinte,40.78237,-4.837343,1000.345,92,59,47,POINT (-4.837343 40.78237),ARÉVALO-MADRIGAL,Aveinte
Castilla León,Ávila,Avellaneda,40.388529999999996,-5.388019,1351.8829999999998,32,16,15,POINT (-5.388019 40.38853),BARCO DE ÁVILA - PIEDRAHITA,Avellaneda
Castilla León,Ávila,Ávila,40.656420000000004,-4.700323,1129.8410000000001,59482,27485,29370,POINT (-4.700323 40.65642),ÁVILA,Ávila
Castilla León,Ávila,Barco de Ávila (El),40.35711,-5.523521,1018.091,2688,1328,1393,POINT (-5.523521 40.35711),BARCO DE ÁVILA - PIEDRAHITA,Barco de Ávila (El)
Castilla León,Ávila,Barraco (El),40.478809999999996,-4.638284,1007.118,2073,1096,1056,POINT (-4.638284 40.47881),BAJO ALBERCHE,Barraco (El)
Castilla León,Ávila,Barromán,41.065090000000005,-4.931392,795.3719,203,118,105,POINT (-4.931392 41.06509),ARÉVALO-MADRIGAL,Barromán
Castilla León,Ávila,Becedas,40.40503,-5.6348709999999995,1100.157,266,155,145,POINT (-5.634871 40.40503),BARCO DE ÁVILA - PIEDRAHITA,Becedas
Castilla León,Ávila,Becedillas,40.53734,-5.324924,1055.372,117,72,61,POINT (-5.324924 40.53734),BARCO DE ÁVILA - PIEDRAHITA,Becedillas
Castilla León,Ávila,Bercial de Zapardiel,41.04642,-4.969301000000001,806.9874,246,120,125,POINT (-4.969301000000001 41.04642),ARÉVALO-MADRIGAL,Bercial de Zapardiel
Castilla León,Ávila,Berlanas (Las),40.80299,-4.760686,947.4949,365,184,172,POINT (-4.760686 40.80299),ARÉVALO-MADRIGAL,Berlanas (Las)
Castilla León,Ávila,Bernuy-Zapardiel,40.97598,-4.943944999999999,865.666,138,85,67,POINT (-4.943944999999999 40.97598),ARÉVALO-MADRIGAL,Bernuy-Zapardiel
Castilla León,Ávila,Berrocalejo de Aragona,40.69409,-4.594394,1093.8339999999998,49,27,23,POINT (-4.594394 40.69409),ÁVILA,Berrocalejo de Aragona
Castilla León,Ávila,Blascomillán,40.80138,-5.088691000000001,949.7968,210,109,115,POINT (-5.088691000000001 40.80138),ÁVILA,Blascomillán
Castilla León,Ávila,Blasconuño de Matacabras,41.1234,-4.990178,786.0962,18,8,9,POINT (-4.990178 41.1234),ARÉVALO-MADRIGAL,Blasconuño de Matacabras
Castilla León,Ávila,Blascosancho,40.87781,-4.635879,904.3203,105,66,67,POINT (-4.635879 40.87781),ARÉVALO-MADRIGAL,Blascosancho
Castilla León,Ávila,Bohodón (El),40.91633,-4.730068,884.0,142,79,77,POINT (-4.730068 40.91633),ARÉVALO-MADRIGAL,Bohodón (El)
Castilla León,Ávila,Bohoyo,40.31496,-5.441185,1152.302,324,188,165,POINT (-5.441185 40.31496),BARCO DE ÁVILA - PIEDRAHITA,Bohoyo
Castilla León,Ávila,Bonilla de la Sierra,40.53089,-5.264956,1078.6789999999999,136,73,63,POINT (-5.264956 40.53089),BARCO DE ÁVILA - PIEDRAHITA,Bonilla de la Sierra
Castilla León,Ávila,Brabos,40.77847,-4.937897,981.4635,55,33,27,POINT (-4.937897 40.77847),ÁVILA,Brabos
Castilla León,Ávila,Bularros,40.72449,-4.865047,1169.9080000000001,80,50,35,POINT (-4.865047 40.72449),ÁVILA,Bularros
Castilla León,Ávila,Burgohondo,40.41368,-4.786215,841.5716,1302,670,608,POINT (-4.786215 40.41368),BAJO ALBERCHE,Burgohondo
Castilla León,Ávila,Cabezas de Alambre,40.9404,-4.842389,889.5198,177,92,89,POINT (-4.842389 40.9404),ARÉVALO-MADRIGAL,Cabezas de Alambre
Castilla León,Ávila,Cabezas del Pozo,41.001529999999995,-4.955734,844.806,87,56,50,POINT (-4.955734 41.00153),ARÉVALO-MADRIGAL,Cabezas del Pozo
Castilla León,Ávila,Cabezas del Villar,40.715270000000004,-5.209755,1047.323,316,199,160,POINT (-5.209755 40.71527),ÁVILA,Cabezas del Villar
Castilla León,Ávila,Cabizuela,40.90104,-4.800335,880.9836,113,59,62,POINT (-4.800335 40.90104),ARÉVALO-MADRIGAL,Cabizuela
Castilla León,Ávila,Canales,41.00328,-4.900348999999999,856.6454,49,29,23,POINT (-4.900348999999999 41.00328),ARÉVALO-MADRIGAL,Canales
Castilla León,Ávila,Candeleda,40.15509,-5.239783999999999,432.1873,5223,2663,2503,POINT (-5.239783999999999 40.15509),VALLE DEL TIÉTAR,Candeleda
Castilla León,Ávila,Cantiveros,40.9527,-4.954445,878.133,143,78,73,POINT (-4.954445 40.9527),ARÉVALO-MADRIGAL,Cantiveros
Castilla León,Ávila,Cardeñosa,40.74177,-4.745263,1106.6860000000001,495,277,255,POINT (-4.745263 40.74177),ÁVILA,Cardeñosa
Castilla León,Ávila,Carrera (La),40.34768,-5.554624,1055.56,212,115,99,POINT (-5.554624 40.34768),BARCO DE ÁVILA - PIEDRAHITA,Carrera (La)
Castilla León,Ávila,Casas del Puerto,40.52906,-5.198162,1181.79,106,61,57,POINT (-5.198162 40.52906),BARCO DE ÁVILA - PIEDRAHITA,Casas del Puerto
Castilla León,Ávila,Casasola,40.66874,-4.826726,1316.7820000000002,89,57,53,POINT (-4.826726 40.66874),ÁVILA,Casasola
Castilla León,Ávila,Casavieja,40.28105,-4.7667779999999995,560.0256,1578,826,773,POINT (-4.766778 40.28105),VALLE DEL TIÉTAR,Casavieja
Castilla León,Ávila,Casillas,40.32428,-4.572369999999999,1033.86,808,453,400,POINT (-4.572369999999999 40.32428),VALLE DEL TIÉTAR,Casillas
Castilla León,Ávila,Castellanos de Zapardiel,41.08524,-4.909803,784.2825,101,58,51,POINT (-4.909803 41.08524),ARÉVALO-MADRIGAL,Castellanos de Zapardiel
Castilla León,Ávila,Cebreros,40.45507,-4.464714,762.6259,3505,1795,1706,POINT (-4.464714 40.45507),BAJO ALBERCHE,Cebreros
Castilla León,Ávila,Cepeda la Mora,40.457609999999995,-5.048178,1496.214,90,53,51,POINT (-5.048178 40.45761),GREDOS,Cepeda la Mora
Castilla León,Ávila,Chamartín,40.70156,-4.958119,1200.4189999999999,91,56,37,POINT (-4.958119 40.70156),ÁVILA,Chamartín
Castilla León,Ávila,Cillán,40.70498,-4.978228,1213.872,116,73,51,POINT (-4.978228 40.70498),ÁVILA,Cillán
Castilla León,Ávila,Cisla,40.96485,-5.012189,849.4051,138,74,80,POINT (-5.012189 40.96485),ARÉVALO-MADRIGAL,Cisla
Castilla León,Ávila,Colilla (La),40.6473,-4.766521,1137.412,342,163,162,POINT (-4.766521 40.6473),ÁVILA,Colilla (La)
Castilla León,Ávila,Collado de Contreras,40.88665,-4.927862999999999,916.2794,237,117,103,POINT (-4.927862999999999 40.88665),ARÉVALO-MADRIGAL,Collado de Contreras
Castilla León,Ávila,Collado del Mirón,40.5528,-5.353886,1166.182,45,24,20,POINT (-5.353886 40.5528),BARCO DE ÁVILA - PIEDRAHITA,Collado del Mirón
Castilla León,Ávila,Constanzana,40.93854,-4.8743989999999995,890.7895,123,82,56,POINT (-4.874398999999999 40.93854),ARÉVALO-MADRIGAL,Constanzana
Castilla León,Ávila,Crespos,40.87341,-4.969728,924.7823,536,314,277,POINT (-4.969728 40.87341),ARÉVALO-MADRIGAL,Crespos
Castilla León,Ávila,Cuevas del Valle,40.29244,-5.010546,850.9416,541,290,245,POINT (-5.010546 40.29244),VALLE DEL TIÉTAR,Cuevas del Valle
Castilla León,Ávila,Diego del Carpio,40.6625,-5.340833,1018.423,174,106,86,POINT (-5.340833 40.6625),ÁVILA,Diego del Carpio
Castilla León,Ávila,Donjimeno,40.95966,-4.845067,885.1403,95,58,46,POINT (-4.845067 40.95966),ARÉVALO-MADRIGAL,Donjimeno
Castilla León,Ávila,Donvidas,41.089220000000005,-4.8079410000000005,863.8016,44,26,20,POINT (-4.807941 41.08922),ARÉVALO-MADRIGAL,Donvidas
Castilla León,Ávila,Espinosa de los Caballeros,41.00935,-4.650817,859.3159,108,65,46,POINT (-4.650817 41.00935),ARÉVALO-MADRIGAL,Espinosa de los Caballeros
Castilla León,Ávila,Flores de Ávila,40.93462,-5.078151999999999,894.5298,343,194,170,POINT (-5.078151999999999 40.93462),ARÉVALO-MADRIGAL,Flores de Ávila
Castilla León,Ávila,Fontiveros,40.9306,-4.967885,883.9694,836,463,419,POINT (-4.967885 40.9306),ARÉVALO-MADRIGAL,Fontiveros
Castilla León,Ávila,Fresnedilla,40.23157,-4.6216870000000005,622.42,111,47,57,POINT (-4.621687000000001 40.23157),VALLE DEL TIÉTAR,Fresnedilla
Castilla León,Ávila,Fresno (El),40.61371,-4.757426000000001,1077.998,572,288,262,POINT (-4.757426000000001 40.61371),ÁVILA,Fresno (El)
Castilla León,Ávila,Fuente el Saúz,40.97907,-4.910458,872.8679,196,126,104,POINT (-4.910458 40.97907),ARÉVALO-MADRIGAL,Fuente el Saúz
Castilla León,Ávila,Fuentes de Año,41.01748,-4.897614,825.9651,135,83,71,POINT (-4.897614 41.01748),ARÉVALO-MADRIGAL,Fuentes de Año
Castilla León,Ávila,Gallegos de Altamiros,40.70929,-4.899144000000001,1243.297,63,41,26,POINT (-4.899144000000001 40.70929),ÁVILA,Gallegos de Altamiros
Castilla León,Ávila,Gallegos de Sobrinos,40.716390000000004,-5.111902,1165.116,74,38,43,POINT (-5.111902 40.71639),ÁVILA,Gallegos de Sobrinos
Castilla León,Ávila,Garganta del Villar,40.450070000000004,-5.105528,1468.859,47,32,20,POINT (-5.105528 40.45007),GREDOS,Garganta del Villar
Castilla León,Ávila,Gavilanes,40.27752,-4.851113,666.3435,657,331,300,POINT (-4.851113 40.27752),VALLE DEL TIÉTAR,Gavilanes
Castilla León,Ávila,Gemuño,40.592909999999996,-4.782099,1103.7069999999999,161,80,89,POINT (-4.782099 40.59291),ÁVILA,Gemuño
Castilla León,Ávila,Gil García,40.29817,-5.593304,1149.134,40,20,20,POINT (-5.593304 40.29817),BARCO DE ÁVILA - PIEDRAHITA,Gil García
Castilla León,Ávila,Gilbuena,40.41522,-5.605305,1046.664,88,55,38,POINT (-5.605305 40.41522),BARCO DE ÁVILA - PIEDRAHITA,Gilbuena
Castilla León,Ávila,Gimialcón,40.877309999999994,-5.1223540000000005,949.9352,96,54,40,POINT (-5.122354000000001 40.87730999999999),ARÉVALO-MADRIGAL,Gimialcón
Castilla León,Ávila,Gotarrendura,40.82674,-4.739214,931.7262,164,72,124,POINT (-4.739214 40.82674),ARÉVALO-MADRIGAL,Gotarrendura
Castilla León,Ávila,Grandes y San Martín,40.75497,-4.957851,1004.375,31,22,19,POINT (-4.957851 40.75497),ÁVILA,Grandes y San Martín
Castilla León,Ávila,Guisando,40.22166,-5.139702,760.2384,565,301,297,POINT (-5.139702 40.22166),VALLE DEL TIÉTAR,Guisando
Castilla León,Ávila,Gutierre-Muñoz,40.98325,-4.638578,885.0555,76,51,49,POINT (-4.638578 40.98325),ARÉVALO-MADRIGAL,Gutierre-Muñoz
Castilla León,Ávila,Hernansancho,40.85752,-4.729424,907.3092,190,113,97,POINT (-4.729424 40.85752),ARÉVALO-MADRIGAL,Hernansancho
Castilla León,Ávila,Herradón de Pinares,40.57639,-4.531389,1339.181,575,312,248,POINT (-4.531389 40.57639),BAJO ALBERCHE,Herradón de Pinares
Castilla León,Ávila,Herreros de Suso,40.80199,-5.038302,1014.1489999999999,169,90,81,POINT (-5.038302 40.80199),ÁVILA,Herreros de Suso
Castilla León,Ávila,Higuera de las Dueñas,40.23775,-4.601235,636.0223,341,187,141,POINT (-4.601235 40.23775),VALLE DEL TIÉTAR,Higuera de las Dueñas
Castilla León,Ávila,Hija de Dios (La),40.53144,-4.965749,1190.105,86,47,34,POINT (-4.965749 40.53144),ÁVILA,Hija de Dios (La)
Castilla León,Ávila,Horcajada (La),40.43745,-5.466582,1013.8860000000001,571,305,300,POINT (-5.466582 40.43745),BARCO DE ÁVILA - PIEDRAHITA,Horcajada (La)
Castilla León,Ávila,Horcajo de las Torres,41.0651,-5.0908050000000005,817.9778,610,343,276,POINT (-5.090805 41.0651),ARÉVALO-MADRIGAL,Horcajo de las Torres
Castilla León,Ávila,Hornillo (El),40.24966,-5.104175,750.8702,345,190,169,POINT (-5.104175 40.24966),VALLE DEL TIÉTAR,Hornillo (El)
Castilla León,Ávila,Hoyo de Pinares (El),40.50175,-4.422358999999999,850.6945,2398,1265,1136,POINT (-4.422358999999999 40.50175),BAJO ALBERCHE,Hoyo de Pinares (El)
Castilla León,Ávila,Hoyocasero,40.39886,-4.975904,1340.283,316,192,168,POINT (-4.975904 40.39886),GREDOS,Hoyocasero
Castilla León,Ávila,Hoyorredondo,40.46219,-5.409976,1041.056,87,52,39,POINT (-5.409976 40.46219),BARCO DE ÁVILA - PIEDRAHITA,Hoyorredondo
Castilla León,Ávila,Hoyos de Miguel Muñoz,40.39286,-5.06712,1537.8139999999999,42,23,22,POINT (-5.06712 40.39286),GREDOS,Hoyos de Miguel Muñoz
Castilla León,Ávila,Hoyos del Collado,40.35938,-5.201206,1496.277,35,22,16,POINT (-5.201206 40.35938),GREDOS,Hoyos del Collado
Castilla León,Ávila,Hoyos del Espino,40.35726,-5.173525,1476.058,454,258,211,POINT (-5.173525 40.35726),GREDOS,Hoyos del Espino
Castilla León,Ávila,Hurtumpascual,40.69209,-5.112507,1170.5330000000001,75,50,31,POINT (-5.112507 40.69209),ÁVILA,Hurtumpascual
Castilla León,Ávila,Junciana,40.410140000000006,-5.557674,996.5219,68,48,36,POINT (-5.557674 40.41014000000001),BARCO DE ÁVILA - PIEDRAHITA,Junciana
Castilla León,Ávila,Langa,41.007709999999996,-4.859519000000001,867.0062,518,268,268,POINT (-4.859519000000001 41.00771),ARÉVALO-MADRIGAL,Langa
Castilla León,Ávila,Lanzahíta,40.20398,-4.937142,452.3451,914,519,450,POINT (-4.937142 40.20398),VALLE DEL TIÉTAR,Lanzahíta
Castilla León,Ávila,Llanos de Tormes (Los),40.32849,-5.500204,1051.062,90,49,44,POINT (-5.500204 40.32849),BARCO DE ÁVILA - PIEDRAHITA,Llanos de Tormes (Los)
Castilla León,Ávila,Losar del Barco (El),40.392379999999996,-5.539316,1011.311,138,68,59,POINT (-5.539316 40.39238),BARCO DE ÁVILA - PIEDRAHITA,Losar del Barco (El)
Castilla León,Ávila,Madrigal de las Altas Torres,41.08944,-4.998767,811.4847,1628,854,823,POINT (-4.998767 41.08944),ARÉVALO-MADRIGAL,Madrigal de las Altas Torres
Castilla León,Ávila,Maello,40.81118,-4.5088,1031.5610000000001,723,393,354,POINT (-4.5088 40.81118),ÁVILA,Maello
Castilla León,Ávila,Malpartida de Corneja,40.52113,-5.351212,1023.512,140,72,76,POINT (-5.351212 40.52113),BARCO DE ÁVILA - PIEDRAHITA,Malpartida de Corneja
Castilla León,Ávila,Mamblas,41.019529999999996,-5.011209,820.2225,232,122,108,POINT (-5.011209 41.01953),ARÉVALO-MADRIGAL,Mamblas
Castilla León,Ávila,Mancera de Arriba,40.79102,-5.147208,938.9207,97,52,49,POINT (-5.147208 40.79102),ÁVILA,Mancera de Arriba
Castilla León,Ávila,Manjabálago,40.6643,-5.076167,1289.862,40,26,18,POINT (-5.076167 40.6643),ÁVILA,Manjabálago
Castilla León,Ávila,Marlín,40.71137,-4.829782,1214.861,38,22,18,POINT (-4.829782 40.71137),ÁVILA,Marlín
Castilla León,Ávila,Martiherrero,40.67412,-4.781778,1228.818,298,142,132,POINT (-4.781778 40.67412),ÁVILA,Martiherrero
Castilla León,Ávila,Martínez,40.63086,-5.348361,1100.1789999999999,156,89,80,POINT (-5.348361 40.63086),ÁVILA,Martínez
Castilla León,Ávila,Mediana de Voltoya,40.7007,-4.563919,1112.355,103,53,56,POINT (-4.563919 40.7007),ÁVILA,Mediana de Voltoya
Castilla León,Ávila,Medinilla,40.43935,-5.617625,1066.2060000000001,135,66,74,POINT (-5.617625 40.43935),BARCO DE ÁVILA - PIEDRAHITA,Medinilla
Castilla León,Ávila,Mengamuñoz,40.50863,-5.005374,1348.0810000000001,70,32,35,POINT (-5.005374 40.50863),ÁVILA,Mengamuñoz
Castilla León,Ávila,Mesegar de Corneja,40.50275,-5.301532,1022.4889999999999,79,45,37,POINT (-5.301532 40.50275),BARCO DE ÁVILA - PIEDRAHITA,Mesegar de Corneja
Castilla León,Ávila,Mijares,40.297470000000004,-4.836677,864.0565,831,440,394,POINT (-4.836677 40.29747),VALLE DEL TIÉTAR,Mijares
Castilla León,Ávila,Mingorría,40.75072,-4.665422,1034.813,410,232,212,POINT (-4.665422 40.75072),ARÉVALO-MADRIGAL,Mingorría
Castilla León,Ávila,Mirón (El),40.53179,-5.4052050000000005,1261.807,153,101,71,POINT (-5.405205 40.53179),BARCO DE ÁVILA - PIEDRAHITA,Mirón (El)
Castilla León,Ávila,Mironcillo,40.554970000000004,-4.825576,1119.9560000000001,105,65,54,POINT (-4.825576 40.55497),ÁVILA,Mironcillo
Castilla León,Ávila,Mirueña de los Infanzones,40.73749,-5.090713,1132.032,125,67,60,POINT (-5.090713 40.73749),ÁVILA,Mirueña de los Infanzones
Castilla León,Ávila,Mombeltrán,40.25992,-5.01777,638.0334,1165,621,599,POINT (-5.01777 40.25992),VALLE DEL TIÉTAR,Mombeltrán
Castilla León,Ávila,Monsalupe,40.76863,-4.781026,1001.826,62,31,32,POINT (-4.781026 40.76863),ARÉVALO-MADRIGAL,Monsalupe
Castilla León,Ávila,Moraleja de Matacabras,41.107209999999995,-4.957326,784.5509,52,25,25,POINT (-4.957326 41.10720999999999),ARÉVALO-MADRIGAL,Moraleja de Matacabras
Castilla León,Ávila,Muñana,40.590509999999995,-5.014978,1166.34,501,273,254,POINT (-5.014978 40.59050999999999),ÁVILA,Muñana
Castilla León,Ávila,Muñico,40.70657,-5.0266589999999995,1088.3010000000002,119,65,62,POINT (-5.026659 40.70657),ÁVILA,Muñico
Castilla León,Ávila,Muñogalindo,40.6028,-4.900547,1126.354,390,223,185,POINT (-4.900547 40.6028),ÁVILA,Muñogalindo
Castilla León,Ávila,Muñogrande,40.82127,-4.922052,945.0131,79,41,36,POINT (-4.922052 40.82127),ÁVILA,Muñogrande
Castilla León,Ávila,Muñomer del Peco,40.858509999999995,-4.8803849999999995,897.2045,140,80,71,POINT (-4.880385 40.85851),ARÉVALO-MADRIGAL,Muñomer del Peco
Castilla León,Ávila,Muñopepe,40.635459999999995,-4.8182279999999995,1136.208,105,61,43,POINT (-4.818228 40.63545999999999),ÁVILA,Muñopepe
Castilla León,Ávila,Muñosancho,40.92184,-5.035893,904.1495,122,56,58,POINT (-5.035893 40.92184),ARÉVALO-MADRIGAL,Muñosancho
Castilla León,Ávila,Muñotello,40.54302,-5.040776999999999,1153.327,76,49,43,POINT (-5.040776999999999 40.54302),ÁVILA,Muñotello
Castilla León,Ávila,Narrillos del Álamo,40.56697,-5.466862,1119.065,94,50,51,POINT (-5.466862 40.56697),ÁVILA,Narrillos del Álamo
Castilla León,Ávila,Narrillos del Rebollar,40.66433,-4.964759,1393.9279999999999,60,28,23,POINT (-4.964759 40.66433),ÁVILA,Narrillos del Rebollar
Castilla León,Ávila,Narros de Saldueña,40.875240000000005,-4.869534,899.7995,131,76,64,POINT (-4.869534 40.87524000000001),ARÉVALO-MADRIGAL,Narros de Saldueña
Castilla León,Ávila,Narros del Castillo,40.85886,-5.059597,955.416,186,98,83,POINT (-5.059597 40.85886),ARÉVALO-MADRIGAL,Narros del Castillo
Castilla León,Ávila,Narros del Puerto,40.54162,-4.9919709999999995,1150.127,36,22,19,POINT (-4.991970999999999 40.54162),ÁVILA,Narros del Puerto
Castilla León,Ávila,Nava de Arévalo,40.978429999999996,-4.775988,867.2231,851,481,425,POINT (-4.775988 40.97843),ARÉVALO-MADRIGAL,Nava de Arévalo
Castilla León,Ávila,Nava del Barco,40.29252,-5.540213,1143.579,110,58,57,POINT (-5.540213 40.29252),BARCO DE ÁVILA - PIEDRAHITA,Nava del Barco
Castilla León,Ávila,Navacepedilla de Corneja,40.48594,-5.184513,1254.6789999999999,112,59,54,POINT (-5.184513 40.48594),BARCO DE ÁVILA - PIEDRAHITA,Navacepedilla de Corneja
Castilla León,Ávila,Navadijos,40.42566,-5.083559999999999,1522.013,46,35,25,POINT (-5.083559999999999 40.42566),GREDOS,Navadijos
Castilla León,Ávila,Navaescurial,40.471990000000005,-5.277838,1204.329,58,35,23,POINT (-5.277838 40.47199000000001),BARCO DE ÁVILA - PIEDRAHITA,Navaescurial
Castilla León,Ávila,Navahondilla,40.32642,-4.495955,722.1689,327,192,143,POINT (-4.495955 40.32642),VALLE DEL TIÉTAR,Navahondilla
Castilla León,Ávila,Navalacruz,40.44016,-4.932515,1242.845,276,130,132,POINT (-4.932515 40.44016),GREDOS,Navalacruz
Castilla León,Ávila,Navalmoral,40.45965,-4.7686,1059.723,423,240,224,POINT (-4.7686 40.45965),BAJO ALBERCHE,Navalmoral
Castilla León,Ávila,Navalonguilla,40.27827,-5.501873000000001,1166.513,294,174,155,POINT (-5.501873000000001 40.27827),BARCO DE ÁVILA - PIEDRAHITA,Navalonguilla
Castilla León,Ávila,Navalosa,40.401340000000005,-4.931455000000001,1302.4569999999999,352,214,180,POINT (-4.931455000000001 40.40134),GREDOS,Navalosa
Castilla León,Ávila,Navalperal de Pinares,40.59454,-4.410842,1276.434,979,513,453,POINT (-4.410842 40.59454),BAJO ALBERCHE,Navalperal de Pinares
Castilla León,Ávila,Navalperal de Tormes,40.35288,-5.300555999999999,1301.761,109,70,52,POINT (-5.300555999999999 40.35288),GREDOS,Navalperal de Tormes
Castilla León,Ávila,Navaluenga,40.410959999999996,-4.707685,761.1091,2165,1130,1115,POINT (-4.707685 40.41096),BAJO ALBERCHE,Navaluenga
Castilla León,Ávila,Navaquesera,40.42503,-4.908706,1510.378,34,14,18,POINT (-4.908706 40.42503),GREDOS,Navaquesera
Castilla León,Ávila,Navarredonda de Gredos,40.362390000000005,-5.13352,1533.715,443,234,227,POINT (-5.13352 40.36239),GREDOS,Navarredonda de Gredos
Castilla León,Ávila,Navarredondilla,40.45349,-4.821207,1133.272,261,122,124,POINT (-4.821207 40.45349),GREDOS,Navarredondilla
Castilla León,Ávila,Navarrevisca,40.364259999999994,-4.89544,1125.35,317,183,157,POINT (-4.89544 40.36425999999999),GREDOS,Navarrevisca
Castilla León,Ávila,Navas del Marqués (Las),40.603159999999995,-4.326336,1301.798,5724,2999,2785,POINT (-4.326336 40.60316),BAJO ALBERCHE,Navas del Marqués (Las)
Castilla León,Ávila,Navatalgordo,40.41558,-4.872152,1277.847,249,142,137,POINT (-4.872152 40.41558),GREDOS,Navatalgordo
Castilla León,Ávila,Navatejares,40.33571,-5.530873000000001,1045.835,66,33,41,POINT (-5.530873000000001 40.33571),BARCO DE ÁVILA - PIEDRAHITA,Navatejares
Castilla León,Ávila,Neila de San Miguel,40.423629999999996,-5.651733999999999,1163.344,84,48,45,POINT (-5.651733999999999 40.42363),BARCO DE ÁVILA - PIEDRAHITA,Neila de San Miguel
Castilla León,Ávila,Niharra,40.5894,-4.839691,1092.125,169,88,82,POINT (-4.839691 40.5894),ÁVILA,Niharra
Castilla León,Ávila,Ojos-Albos,40.7065,-4.5164800000000005,1228.249,62,37,28,POINT (-4.51648 40.7065),ÁVILA,Ojos-Albos
Castilla León,Ávila,Orbita,40.998509999999996,-4.647501,868.4173,89,48,48,POINT (-4.647501 40.99851),ARÉVALO-MADRIGAL,Orbita
Castilla León,Ávila,Oso (El),40.84169,-4.770429,896.0026,208,111,87,POINT (-4.770429 40.84169),ARÉVALO-MADRIGAL,Oso (El)
Castilla León,Ávila,Padiernos,40.6211,-4.845123,1106.0,272,138,120,POINT (-4.845123 40.6211),ÁVILA,Padiernos
Castilla León,Ávila,Pajares de Adaja,40.92365,-4.64045,881.6708,187,98,96,POINT (-4.64045 40.92365),ARÉVALO-MADRIGAL,Pajares de Adaja
Castilla León,Ávila,Palacios de Goda,41.1171,-4.783861,820.0026,447,233,222,POINT (-4.783861 41.1171),ARÉVALO-MADRIGAL,Palacios de Goda
Castilla León,Ávila,Papatrigo,40.86782,-4.834677,889.0,263,139,129,POINT (-4.834677 40.86782),ARÉVALO-MADRIGAL,Papatrigo
Castilla León,Ávila,Parral (El),40.7973,-4.990441000000001,1049.357,106,64,51,POINT (-4.990441000000001 40.7973),ÁVILA,Parral (El)
Castilla León,Ávila,Pascualcobo,40.657109999999996,-5.276952,1065.825,41,20,16,POINT (-5.276952 40.65711),ÁVILA,Pascualcobo
Castilla León,Ávila,Pedro-Rodríguez,40.936840000000004,-4.784845,877.0702,953,108,113,POINT (-4.784845 40.93684),ARÉVALO-MADRIGAL,Pedro-Rodríguez
Castilla León,Ávila,Pedro Bernardo,40.24287,-4.914765,802.8278,183,538,479,POINT (-4.914765 40.24287),VALLE DEL TIÉTAR,Pedro Bernardo
Castilla León,Ávila,Peguerinos,40.62729,-4.232728,1361.598,310,186,156,POINT (-4.232728 40.62729),BAJO ALBERCHE,Peguerinos
Castilla León,Ávila,Peñalba de Ávila,40.77176,-4.747358999999999,1073.66,125,77,56,POINT (-4.747358999999999 40.77176),ARÉVALO-MADRIGAL,Peñalba de Ávila
Castilla León,Ávila,Piedrahíta,40.463390000000004,-5.328194,1064.406,2007,995,1060,POINT (-5.328194 40.46339),BARCO DE ÁVILA - PIEDRAHITA,Piedrahíta
Castilla León,Ávila,Piedralaves,40.31736,-4.6980900000000005,712.4528,2289,1157,1093,POINT (-4.698090000000001 40.31736),VALLE DEL TIÉTAR,Piedralaves
Castilla León,Ávila,Poveda,40.5669,-5.0796980000000005,1201.02,59,42,28,POINT (-5.079698 40.5669),ÁVILA,Poveda
Castilla León,Ávila,Poyales del Hoyo,40.17289,-5.166279,554.1748,588,314,293,POINT (-5.166279 40.17289),VALLE DEL TIÉTAR,Poyales del Hoyo
