Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town
Castilla León,León,Rioseco de Tapia,42.72955,-5.79007,954.6298,408,232,201,POINT (-5.79007 42.72955),TIERRAS DE LEÓN,Rioseco de Tapia
Castilla León,León,Robla (La),42.801590000000004,-5.628979,958.3334,4580,2347,2278,POINT (-5.628979 42.80159),LA MONTAÑA DE LUNA,Robla (La)
Castilla León,León,Roperuelos del Páramo,42.23702,-5.78285,772.0,634,353,322,POINT (-5.78285 42.23702),EL PÁRAMO,Roperuelos del Páramo
Castilla León,León,Sabero,42.836290000000005,-5.150429,984.9694,1366,708,743,POINT (-5.150429 42.83629000000001),LA MONTAÑA DE RIAÑO,Sabero
Castilla León,León,Sahagún,42.37203,-5.0304400000000005,823.8625,2830,1404,1433,POINT (-5.03044 42.37203),SAHAGÚN,Sahagún
Castilla León,León,San Adrián del Valle,42.13128,-5.7302669999999996,731.8175,119,67,68,POINT (-5.730267 42.13128),EL PÁRAMO,San Adrián del Valle
Castilla León,León,San Andrés del Rabanedo,42.61139,-5.619493,855.3212,31675,15042,15864,POINT (-5.619493 42.61139),TIERRAS DE LEÓN,San Andrés del Rabanedo
Castilla León,León,San Cristóbal de la Polantera,42.39127,-5.908829,799.5095,829,447,444,POINT (-5.908829 42.39127),LA BAÑEZA,San Cristóbal de la Polantera
Castilla León,León,San Emiliano,42.97181,-6.000573,1182.807,708,357,325,POINT (-6.000573 42.97181),LA MONTAÑA DE LUNA,San Emiliano
Castilla León,León,San Esteban de Nogales,42.162240000000004,-5.930695,785.158,288,152,153,POINT (-5.930695 42.16224),LA BAÑEZA,San Esteban de Nogales
Castilla León,León,San Justo de la Vega,42.4542,-6.014812999999999,851.7037,2019,1058,1021,POINT (-6.014812999999999 42.4542),ASTORGA,San Justo de la Vega
Castilla León,León,San Millán de los Caballeros,42.28611,-5.562459,750.4792,187,95,93,POINT (-5.562459 42.28611),ESLA-CAMPOS,San Millán de los Caballeros
Castilla León,León,San Pedro Bercianos,42.391659999999995,-5.709544,823.5859,273,160,143,POINT (-5.709544 42.39165999999999),EL PÁRAMO,San Pedro Bercianos
Castilla León,León,Sancedo,42.668,-6.632886999999999,685.0873,576,294,297,POINT (-6.632886999999999 42.668),BIERZO,Sancedo
Castilla León,León,Santa Colomba de Curueño,42.750840000000004,-5.411633,926.4728,555,288,282,POINT (-5.411633 42.75084),TIERRAS DE LEÓN,Santa Colomba de Curueño
Castilla León,León,Santa Colomba de Somoza,42.44449,-6.244172,998.198,509,248,216,POINT (-6.244172 42.44449),ASTORGA,Santa Colomba de Somoza
Castilla León,León,Santa Cristina de Valmadrigal,42.35649,-5.310498,806.7304,299,173,152,POINT (-5.310498 42.35649),ESLA-CAMPOS,Santa Cristina de Valmadrigal
Castilla León,León,Santa Elena de Jamuz,42.26,-5.886668,767.0479,1218,634,601,POINT (-5.886668 42.26),LA BAÑEZA,Santa Elena de Jamuz
Castilla León,León,Santa María de la Isla,42.35504,-5.929276,788.8663,565,308,279,POINT (-5.929276 42.35504),LA BAÑEZA,Santa María de la Isla
Castilla León,León,Santa María de Ordás,42.72724,-5.822508,949.3904,354,167,161,POINT (-5.822508 42.72724),TIERRAS DE LEÓN,Santa María de Ordás
Castilla León,León,Santa María del Monte de Cea,42.49178,-5.117516,889.7578,270,145,139,POINT (-5.117516 42.49178),SAHAGÚN,Santa María del Monte de Cea
Castilla León,León,Santa María del Páramo,42.35568,-5.747854,812.0701,3173,1580,1599,POINT (-5.747854 42.35568),EL PÁRAMO,Santa María del Páramo
Castilla León,León,Santa Marina del Rey,42.51359,-5.858411,845.9294,2092,1096,1085,POINT (-5.858411 42.51359),EL PÁRAMO,Santa Marina del Rey
Castilla León,León,Santas Martas,42.4327,-5.372084,834.6781,852,464,432,POINT (-5.372084 42.4327),ESLA-CAMPOS,Santas Martas
Castilla León,León,Santiago Millas,42.38248,-6.105768,933.2487,344,179,168,POINT (-6.105768 42.38248),ASTORGA,Santiago Millas
Castilla León,León,Santovenia de la Valdoncina,42.54325,-5.621881,839.5405,1975,1008,964,POINT (-5.621881 42.54325),TIERRAS DE LEÓN,Santovenia de la Valdoncina
Castilla León,León,Sariegos,42.65,-5.633333,870.648,4658,2166,2064,POINT (-5.633333 42.65),TIERRAS DE LEÓN,Sariegos
Castilla León,León,Sena de Luna,42.92972,-5.952073,1146.444,410,188,212,POINT (-5.952073 42.92972),LA MONTAÑA DE LUNA,Sena de Luna
Castilla León,León,Sobrado,42.51915,-6.853733999999999,441.7868,369,215,205,POINT (-6.853733999999999 42.51915),BIERZO,Sobrado
Castilla León,León,Soto de la Vega,42.33125,-5.882584,779.9060000000001,1738,929,881,POINT (-5.882584 42.33125),LA BAÑEZA,Soto de la Vega
Castilla León,León,Soto y Amío,42.77994,-5.886462,1063.305,901,456,502,POINT (-5.886462 42.77994),LA MONTAÑA DE LUNA,Soto y Amío
Castilla León,León,Toral de los Guzmanes,42.24286,-5.568283999999999,744.2477,565,323,290,POINT (-5.568283999999999 42.24286),ESLA-CAMPOS,Toral de los Guzmanes
Castilla León,León,Toreno,42.70055,-6.509904,653.8434,2112,1828,1915,POINT (-6.509904 42.70055),BIERZO,Toreno
Castilla León,León,Torre del Bierzo,42.5947,-6.324807,738.916,3597,1300,1283,POINT (-6.324807 42.5947),BIERZO,Torre del Bierzo
Castilla León,León,Trabadelo,42.64945,-6.882130999999999,573.4517,2455,246,208,POINT (-6.882130999999999 42.64945),BIERZO,Trabadelo
Castilla León,León,Truchas,42.26122,-6.43549,1119.999,427,264,275,POINT (-6.43549 42.26122),LA CABRERA,Truchas
Castilla León,León,Turcia,42.53492,-5.876189,850.9941,507,578,589,POINT (-5.876189 42.53492),ASTORGA,Turcia
